loja,categoria,nome,descricao,preco,imagem
Chocolatria,DIAS e HORÁRIOS de operação do café!,Dias e horários de operação do café Chocolatria!,"Os pedidos e entregas serão atendidos de terça a sábado, das 10:30h -17:30h. Para a confirmação do pedido uma atendente irá conversar com você para combinar o valor do  frete, pagamento e horário de entrega. Os pedidos feitos após este horário e nos dias de descanso (dom /seg) serão respondidos no próximo dia de operação. Gratidão pela compreensão!",0.0,https://www.goomer.app/webmenu/chocolatria-1/product/9425418/picture/medium/240301125430
Chocolatria,A nossa padaria especial,"""O"" pão de queijo Chocolatria","Crocante por fora, cremoso por dentro. Recheado com requeijão cremoso.",11.9,https://www.goomer.app/webmenu/chocolatria-1/product/1368241/picture/medium/250110200150
Chocolatria,A nossa padaria especial,"""O"" biscoito de queijo","O biscoito mais instagramável que existe! Amanteigado, crocante e com um toque de tomilho. Um acompanhamento perfeito para o cafezinho preto.",16.9,https://www.goomer.app/webmenu/chocolatria-1/product/2686956/picture/medium/250110200223
Chocolatria,A nossa padaria especial,Ophélia [unidade],"Brioche fofinho de Earl Grey, recheado com cremoso de coco e filete de dulce de leche.",21.9,https://www.goomer.app/webmenu/chocolatria-1/product/2825945/picture/medium/250121135013
Chocolatria,A nossa padaria especial,"""O"" pão de queijo com pernil","O nosso incrível pão de queijo da casa, recheado com pernil (cozido por 16h em baixa temperatura), muçarela, requeijão e um toque de páprica picante.",17.9,https://www.goomer.app/webmenu/chocolatria-1/product/1368293/picture/medium/250111210437
Chocolatria,A nossa padaria especial,"""O"" Pacotinho de pão de queijo",6 unidades de mini pão de queijo crocante,18.9,https://www.goomer.app/webmenu/chocolatria-1/product/9159849/picture/medium/250110200458
Chocolatria,A nossa padaria especial,Quichipa de frango e pesto de manjericão,"Incrível quiche com base de chipa, recheada com cremoso de frango e pesto de manjericão e nozes.",18.0,https://www.goomer.app/webmenu/chocolatria-1/product/2465854/picture/medium/250110200454
Chocolatria,A nossa padaria especial,Quichipa de espinafre,"[veggie] Incrível quiche com base de chipa, recheado com creme de espinafre e queijos.",18.0,https://www.goomer.app/webmenu/chocolatria-1/product/1368327/picture/medium/250110200452
Chocolatria,A nossa padaria especial,Meat Pie!,"Pecaminosa torta de carne desfiada, cozida por 16 horas em baixa temperatura e temperos especiais da casa.",18.9,https://www.goomer.app/webmenu/chocolatria-1/product/4369358/picture/medium/250422171457
Chocolatria,A nossa padaria especial,Empanada de frango & curry,"Empanada dos sonhos, fartamente recheada com cremoso de frango, ervilha e curry (levemente apimentado)",21.0,https://www.goomer.app/webmenu/chocolatria-1/product/1368826/picture/medium/250116144537
Chocolatria,A nossa padaria especial,Pão de tapenade de azeitona,"Pão especialíssimo recheado com tapenade de azeitona, mix de queijos, cebola caramelada e alecrim.",26.5,https://www.goomer.app/webmenu/chocolatria-1/product/1572538/picture/medium/250402183517
Chocolatria,A nossa padaria especial,Joelhinho de calabresa,"Sensacional pão integral, recheado com linguiça calabresa, requeijão e cebolas caramelizadas.",28.9,https://www.goomer.app/webmenu/chocolatria-1/product/1368577/picture/medium/250507141211
Chocolatria,A nossa padaria especial,"""O"" buraco quente","O clássico e delicioso sanduíche cremoso a base de carne moída, queijo, bacon e temperos especiais.",29.9,https://www.goomer.app/webmenu/chocolatria-1/product/6208910/picture/medium/250116144619
Chocolatria,A nossa padaria especial,Choripán,"O nosso ChoriPÁN é um pão úmido, recheado, trançado e com um corte lindo semelhante aos veios de uma árvore. De massa semelhante a um brioche, recheado com pesto de chimichurri e linguiça defumada.",48.9,https://www.goomer.app/webmenu/chocolatria-1/product/8863171/picture/medium/250417132240
Chocolatria,A nossa padaria especial,Fatia de Babka C,"Pão úmido, recheado, trançado e com um corte lindo semelhante aos veios de uma árvore. 
Nossa versão é recheada de chocolate e um pouquinho de nozes para um textura agradável e umedecida com calda feita de lascas de laranja Bahia.",23.0,https://www.goomer.app/webmenu/chocolatria-1/product/6037127/picture/medium/250116144638
Chocolatria,A nossa padaria especial,Babka C familia - SOB ENCOMENDA,"Pão úmido, recheado, trançado e com um corte lindo semelhante aos veios de uma árvore. Nossa versão é recheada de chocolate e um pouquinho de nozes para um textura agradável e umedecida com calda feita de lascas de laranja Bahia. 1,100kg",156.0,https://www.goomer.app/webmenu/chocolatria-1/product/6515638/picture/medium/250515171325
Chocolatria,A nossa padaria especial,"Pacote congelado d""O"" pão de queijo","O queridinho do café, ganhou uma versão especial! Embalagem com 12 deliciosos pães de queijo congelados para você assar no conforto do seu lar.",106.9,https://www.goomer.app/webmenu/chocolatria-1/product/1368468/picture/medium/250612200847
Chocolatria,A nossa padaria especial,"Pacote congelado d""O"" pão de queijo com pernil","O nosso amado pão de queijo, recheado com o pernil da casa, para você assar quando quiser na sua casa. O pernil é cozido por 16h em baixa temperatura e preparado com os temperos especiais da casa e muito amor!",88.0,https://www.goomer.app/webmenu/chocolatria-1/product/5756844/picture/medium/250515171330
Chocolatria,A nossa padaria especial,Pacote congelado de mini Joelhinhos de Calabresa,"O clássico Joelhinho de Calabresa Chocolatria em formato miniatura para servir como lanchinho ou para suas visitas! Pack com 6 unidades assadas e congeladas! Após descongelamento, aqueça no forno, forninho ou Airfryer!",55.4,https://www.goomer.app/webmenu/chocolatria-1/product/7255427/picture/medium/250515171333
Chocolatria,A nossa padaria especial,Pacote congelado de mini Tapenade de azeitonas,"O adorado Tapenade de azeitonas Chocolatria em formato miniatura para servir como lanchinho ou para suas visitas! Pack com 6 unidades assadas e congeladas! Após descongelamento, aqueça no forno, forninho ou Airfryer!",55.4,https://www.goomer.app/webmenu/chocolatria-1/product/10375385/picture/medium/250426165941
Chocolatria,Os famosos bolos Chocolatria,Que tal um favo do lindo bolo de mel?,"Delicioso bolo de mel com especiarias, servido com mel Mbee.",15.9,https://www.goomer.app/webmenu/chocolatria-1/product/1370318/picture/medium/250111210414
Chocolatria,Os famosos bolos Chocolatria,Brownie-licious,"Brownie super chocolático, cremoso e intenso. Retire da marmitinha e aqueça por 10-15 segundos para ter uma experiência incrível.",17.9,https://www.goomer.app/webmenu/chocolatria-1/product/1369345/picture/medium/250110211301
Chocolatria,Os famosos bolos Chocolatria,"Gosta do bolo Sunshine simples, sem calda? Aqui!","[sem lactose*] Bolo de fubá aromático, fofinho e reconfortante.

*pode conter traços",18.9,https://www.goomer.app/webmenu/chocolatria-1/product/1369219/picture/medium/250110211309
Chocolatria,Os famosos bolos Chocolatria,Amo! Fatia do bolo Sunshine de fubá & goiabada,"[sem lactose] Fatia bolo de fubá, rico em aromas, servido com calda magnífica de goiabada. Sirva acompanhado de cafézinho preto. 
*Pode conter traços",21.9,https://www.goomer.app/webmenu/chocolatria-1/product/1369187/picture/medium/250110211314
Chocolatria,Os famosos bolos Chocolatria,Fatia do Bolo incrível de Frutas,"[sem açúcar adicionado / sem lactose / sem glúten*] Bolo delicioso, úmido e saudável de frutas. Sem farinha, nem açúcar adicionado. Feito com flocos de aveia, maçã, banana, tâmara, damasco, uva passa, ameixa e nozes

* podem conter traços",23.9,https://www.goomer.app/webmenu/chocolatria-1/product/10568420/picture/medium/250410144451
Chocolatria,Os famosos bolos Chocolatria,"""O"" Bolo gelado de coco","A  versão Chocolatria do bolo afetivo brasileiro - aquele embrulhadinho no papel alumínio - presente nas melhores festinhas dos anos 80! Massa branca, bem úmida e finalizado com coco ralado",23.9,https://www.goomer.app/webmenu/chocolatria-1/product/10060667/picture/medium/250422132504
Chocolatria,Os famosos bolos Chocolatria,"Bolo gelado ""Cocolati""","""Coco + chocolate = cocolati!"". Bolo gelado de chocolate fartamente recheado com ganache cremosa de coco. Não espere semelhanças com o bolo popular toalha felpuda. Este é intenso e feito com a mesma massa do bolo Trovão!",23.9,https://www.goomer.app/webmenu/chocolatria-1/product/1371460/picture/medium/250111210425
Chocolatria,Os famosos bolos Chocolatria,Que tal ser abraçado por uma fatia do bolo Trovão?,"Untuosa massa de chocolate, umedecida com calda e fartamente recheada com o nosso equilibrado brigadeiro cremoso. Decorado com um brigadeirinhos e uma asa de chocolate",24.9,https://www.goomer.app/webmenu/chocolatria-1/product/1371902/picture/medium/250110211336
Chocolatria,Os famosos bolos Chocolatria,Que tal se alegrar com uma fatia do bolo Red Velvet?,"Radiante massa de bolo vermelho, umedecido com calda e recheado com creme leve de cream cheese. Decorado com morangos e mirtilo.

Imagem tirada pela querida cliente @sybilsy <3",24.9,https://www.goomer.app/webmenu/chocolatria-1/product/1371578/picture/medium/250110211334
Chocolatria,Os famosos bolos Chocolatria,Que tal uma experiência com uma fatia do Bosque Matchá?,"Massa leve de matcha (chá verde), recheada com creme leve, cereja e frutas vermelhas. Decorado com folhas de chocolate de matchá.",24.9,https://www.goomer.app/webmenu/chocolatria-1/product/1372018/picture/medium/250110211249
Chocolatria,Os famosos bolos Chocolatria,Que tal se inspirar com uma fatia do bolo Aconchego?,"Um bolo inspirado no aconchego das festas de bairro, presente na infância de muitos. Massa branca fofinha, úmida, recheada com compota de abacaxi artesanal e creme leve de coco",24.9,https://www.goomer.app/webmenu/chocolatria-1/product/1371153/picture/medium/250110211249
Chocolatria,Choux Cream ,Novidade! Choux cream Banoffee,"Lançamento incrível do café CH: a extraordinária Choux Banoffee, uma Choux fartamente recheada com creme de natas, calda de doce de leite, bananas frescas e polvilhada com açúcar e canela",25.0,https://www.goomer.app/webmenu/chocolatria-1/product/11582212/picture/medium/250207182804
Chocolatria,Choux Cream ,Choux cream de fava Tonka,Choux cream recheado com creme leve de fava tonka,23.0,https://www.goomer.app/webmenu/chocolatria-1/product/6377617/picture/medium/250513180926
Chocolatria,Choux Cream ,Choux cream Trovão,Choux cream recheado com o delicioso mousse de brigadeiro do bolo Trovão.,23.0,https://www.goomer.app/webmenu/chocolatria-1/product/6377621/picture/medium/250619194004
Chocolatria,Choux Cream ,Choux cream Passion,"Choux Cream recheada com caramelo de maracujá, combinada com creme légère de coco.",23.0,https://www.goomer.app/webmenu/chocolatria-1/product/7992007/picture/medium/250408175524
Chocolatria,Choux Cream ,Choux de Natas com Morangos Frescos,Choux recheada com creme de natas e morangos frescos.,25.0,https://www.goomer.app/webmenu/chocolatria-1/product/9984134/picture/medium/250408175525
Chocolatria,Choux Cream ,Choux cream Van Halen,"Choux baseada na icônica trufa Van Halen Chocolatria: creme légère de paçoca, caramelo, cobertura de chocolate 54% e amendoim.",27.0,https://www.goomer.app/webmenu/chocolatria-1/product/9220344/picture/medium/250326212721
Chocolatria,Choux Cream ,Box Choux cream 6 unidades,Monte um box contendo 6 unidades de choux cream a sua escolha e receba de mimo um Choux Trovão OU Fava Tonka.,0.0,https://www.goomer.app/webmenu/chocolatria-1/product/3683635/picture/medium/250207162049
Chocolatria,A nossa especialidade: Chocolates:),"""O"" brigadeiro líquido","Par de brigadeiros feitos com chocolate belga, recheados com brigadeiro em ponto líquido. O brigadeiro que deixa todo mundo doido!",21.9,https://www.goomer.app/webmenu/chocolatria-1/product/1399631/picture/medium/250606192006
Chocolatria,A nossa especialidade: Chocolates:),"Pão de mel ""gift"" de doce de leite","O famoso pão de mel em formato de presentinho que faz sucesso desde 2004. Casca de chocolate ao leite, recheado pão de mel e doce de leite argentino",17.9,https://www.goomer.app/webmenu/chocolatria-1/product/1399467/picture/medium/250513180937
Chocolatria,A nossa especialidade: Chocolates:),"Pão de mel ""gift"" licoroso","Amantes de bebida, este é o doce indicado para você. Casca de chocolate amargo, recheado com pão de mel molhadinho embebido em licor",17.9,https://www.goomer.app/webmenu/chocolatria-1/product/1399389/picture/medium/250116145234
Chocolatria,A nossa especialidade: Chocolates:),Figo,"Design e molde autoral Chocolatria em formato de figo de chocolate , trazendo a harmonização de maior sucesso na Páscoa 2023: Casca chocolate 54% com uma elegante combinação de ganache de raspas de laranja e chá Earl Grey, e figos turcos .",20.9,https://www.goomer.app/webmenu/chocolatria-1/product/9702681/picture/medium/250422205845
Chocolatria,A nossa especialidade: Chocolates:),Cherry Bomb,"Bombom recheado com trufa meio amarga,  ganache licorosa e amarena

Não contém glúten*
Pode conter traços",20.9,https://www.goomer.app/webmenu/chocolatria-1/product/9099665/picture/medium/250422205837
Chocolatria,A nossa especialidade: Chocolates:),Trufa Van Halen,Caramelo cremosíssimo envolvido por uma deliciosa trufa de paçoca e coberta com chocolate crocante de amendoim,18.9,https://www.goomer.app/webmenu/chocolatria-1/product/1399674/picture/medium/250221174011
Chocolatria,A nossa especialidade: Chocolates:),Wafer Gianduia,"Gianduia é a combinação clássica de pasta de avelãs com chocolate. Este é um wafer ultra crocante, recheado com pasta de avelãs, coberto por uma casquinha fina de chocolate ao leite belga.",21.9,https://www.goomer.app/webmenu/chocolatria-1/product/1398928/picture/medium/250527190528
Chocolatria,A nossa especialidade: Chocolates:),Canudo de avelãs,"Delicado por fora, intenso por dentro: um canudo crocante recheado com pasta de avelãs e finalizado com chocolate ao leite belga.",19.9,
Chocolatria,A nossa especialidade: Chocolates:),Estrela de brigadeiro,"Por um céu de brigadeiro, repleto destas estrelas! Estrela gordinha, fartamente recheada com brigadeiro cremoso. Um dos nossos produtos mais desejados!",21.9,https://www.goomer.app/webmenu/chocolatria-1/product/1399696/picture/medium/250523155724
Chocolatria,A nossa especialidade: Chocolates:),VIVALAVIDA!,"Base de biscoito amanteigado, recheio de ganache de caramelo, amendoim, chocolate amargo, flor de sal e paçoca. Se você gosta desta combinação, apenas PEÇA!",21.9,https://www.goomer.app/webmenu/chocolatria-1/product/10106169/picture/medium/250523155722
Chocolatria,A nossa especialidade: Chocolates:),Sakura de maracujá e coco,"Imagine um caramelo de maracujá fresco, vibrante e azedinho combinado com o aconchego do cremoso de coco. Tudo isso, envolvido por uma delicada casquinha 54%. Uma harmonização equilibrada no dulçor, com texturas ricas e muito sabor.",30.9,https://www.goomer.app/webmenu/chocolatria-1/product/10802040/picture/medium/250523155722
Chocolatria,A nossa especialidade: Chocolates:),Sakurá de matchá,"Flor de Sakura de design Chocolatria, feita com casca de chocolate belga 54%,  recheada com bolo de matchá umedecido e brigadeiro de matchá. O colorido é fruto de uma fina camada de pintura, feita com manteiga de cacau colorida.",30.9,https://www.goomer.app/webmenu/chocolatria-1/product/9624429/picture/medium/250523155715
Chocolatria,A nossa especialidade: Chocolates:),NOVIDADE!! Walnuts,"Blend de chocolates de canela e ao leite, recheado com nozes caramelizadas.

Peso líquido: 110g
Validade: 30 dias",39.0,https://www.goomer.app/webmenu/chocolatria-1/product/11194400/picture/medium/250523155715
Chocolatria,A nossa especialidade: Chocolates:),Barra Amargo & Flor de sal,"Barra de chocolate amargo 54,3% com cristais de flor de sal. Simples, mas arrebatador!
Não contém glúten e lactose*
*Pode conter traços",33.9,https://www.goomer.app/webmenu/chocolatria-1/product/1376332/picture/medium/250523155715
Chocolatria,A nossa especialidade: Chocolates:),Barra Caramel Salé,"Barra de chocolate 54% recheada com ganache de caramelo salgado.
Não contém glúten*
 * Pode conter traços",39.0,https://www.goomer.app/webmenu/chocolatria-1/product/11140141/picture/medium/250523155715
Chocolatria,A nossa especialidade: Chocolates:),Barra Honeycomb Praliné,"Barra ao leite feita com honeycomb (caramelo crocante de mel) e praliné de amêndoas.
Não contém glúten*
 * Pode conter traços",41.9,https://www.goomer.app/webmenu/chocolatria-1/product/8364539/picture/medium/250523155715
Chocolatria,A nossa especialidade: Chocolates:),Barra Matchá crumble,"Barra linda feita com chocolate de matchá (chá verde), crumble, goji e cranberries.
Não contém glúten*
Pode conter traços",41.9,https://www.goomer.app/webmenu/chocolatria-1/product/1376155/picture/medium/250523155709
Chocolatria,A nossa especialidade: Chocolates:),Esfera Peanuts,"Casca de chocolate ao leite crocante de amendoim com 3 bombons de amendoim.

Peso líquido: 100g
Validade: 45 dias",54.5,https://www.goomer.app/webmenu/chocolatria-1/product/10752410/picture/medium/250523155709
Chocolatria,A nossa especialidade: Chocolates:),Honeycomb,"Favos de caramelo de mel crocantes banhados em chocolate belga amargo com toque de flor de sal. Extraordinário!
Não contém glúten*
Pode conter traços",70.9,https://www.goomer.app/webmenu/chocolatria-1/product/1399052/picture/medium/250617142829
Chocolatria,Os canudos de wafer incríveis e viciantes!,"Canudos Amargos 54,3%","Dupla de canudos wafer ultra crocantes, banhados no chocolate amargo
Não contém lactose*
*Pode conter traços",18.5,https://www.goomer.app/webmenu/chocolatria-1/product/1384007/picture/medium/241219122328
Chocolatria,Os canudos de wafer incríveis e viciantes!,Canudos Ao leite,"Dupla de canudos de wafer ultra crocantes, banhados no chocolate ao leite",18.5,https://www.goomer.app/webmenu/chocolatria-1/product/1384002/picture/medium/250423153738
Chocolatria,Os canudos de wafer incríveis e viciantes!,Canudos Lemon Pie,"Dupla de canudos de wafer crocantes, banhados em chocolate branco com toque de limão e chá Earl Grey",20.9,https://www.goomer.app/webmenu/chocolatria-1/product/1383846/picture/medium/250108193549
Chocolatria,Os canudos de wafer incríveis e viciantes!,Canudos de Paçoca,"Dupla de canudo de biscoito wafer ultra crocantes, banhado no chocolate ao leite e paçoca.",20.9,https://www.goomer.app/webmenu/chocolatria-1/product/1384656/picture/medium/250423153740
Chocolatria,Os nossos incríveis Cookies,Cookie-licious,"Incrível cookie americano feito com gotas de chocolate, nozes e um toque de flor de sal. Aqueça por 10-12segundos no microondas e seja feliz!",20.0,https://www.goomer.app/webmenu/chocolatria-1/product/1383529/picture/medium/250527221932
Chocolatria,Os nossos incríveis Cookies,Crazy cookie de avelãs,Delicioso cookie de chocolate fartamente recheado com pasta de avelãs.,20.0,https://www.goomer.app/webmenu/chocolatria-1/product/1383475/picture/medium/240718150017
Chocolatria,Os nossos incríveis Cookies,"""Fever"" de brownie e brigadeiro",Massa chocolática e densa de brownie recheada com brigadeiro cremoso da casa.,21.9,https://www.goomer.app/webmenu/chocolatria-1/product/1383708/picture/medium/250115143743
Chocolatria,Sobremesas,Cinnamon Roll,Massa fofinha enrolada e recheada com pasta de canela.,21.9,https://www.goomer.app/webmenu/chocolatria-1/product/11154217/picture/medium/240904195519
Chocolatria,Sobremesas,Choux au Fondue,"Choux crocante recheada com o nosso creme aveludado de baunilha — o mesmo que faz do Red Velvet um clássico irresistível. Por cima, frutas frescas e uma generosa calda de fondue feita com blends de chocolates.",37.0,https://www.goomer.app/webmenu/chocolatria-1/product/9682877/picture/medium/250611165916
